title,price,rating,reviews,availability
Sony PlayStation®5 Console (slim),"54,990.",4.5 out of 5 stars,128 ratings,In stock
Sony PlayStation®5 Digital Edition (slim),"44,990.",4.7 out of 5 stars,93 ratings,In stock
PlayStation Portal™ Remote Player,"18,990.",4.7 out of 5 stars,15 ratings,In stock
(Refurbished) Sony PlayStation®5 Digital Edition (slim),"38,242.",3.0 out of 5 stars,1 rating,Not Available
Sony PS4 Slim 500 GB Console,"33,790.",3.4 out of 5 stars,75 ratings,In stock
Sony PlayStation VR2 (PlayStation 5),"57,790.",4.1 out of 5 stars,6 ratings,In stock
PlayStation Classic,"24,519.",4.3 out of 5 stars,"6,674 ratings",In stock
Rs.2000 Sony PlayStation Network Wallet Top-Up (Email Delivery in 1 hour- Digital Voucher Code),"2,000.",4.5 out of 5 stars,"6,417 ratings",In stock
"NextTech Android PSP Console:Enjoy 4K Output & Smart TV Streaming with Chromecast Integration,64GB Storage 40k Built-in Games,Dual Boot Capability for Ultimate Gaming/Casting Experience (Deep Black)","4,129.",1.0 out of 5 stars,1 rating,In stock
"PSS Hard Carrying Case Storage Bag for PS5, Travel Bag Compatible for Play/Station 5 Console Disk Digital & 2 Controller, Stand, Cable, Waterproof and Shockproof Nylon Fabric (PS5 Accessories)","2,499.",5.0 out of 5 stars,1 rating,Not Available
"Brainwavz Game Controller Desktop Holder Stand (2 Pack) - Universal Design for Xbox ONE, PS5, PS4, PC, Steelseries, Steam & More, Reduce Clutter UGDS-05","1,299.",4.4 out of 5 stars,54 ratings,In stock
"PETABYTE Tv Gaming System | Wireless console Retro Gaming Console |4K Ultra HD |Wireless TV Video Game System | 24,000+ Games | 10 Emulators | Dual-Player Setup | 2.4G Wireless Game Stick","1,999.",3.6 out of 5 stars,13 ratings,In stock
Sony PSP Playstation Portable Console JAPAN Model PSP-3000 Radiant Red (Japan Import),"2,899.",5.0 out of 5 stars,1 rating,Currently unavailable.
Sony Playstation Vita - PS Vita - New Slim Model Console - PCH-2006 (Black),"28,999.",3.7 out of 5 stars,38 ratings,Not Available
Sony DualSense Wireless Controller Grey Camo (PlayStation 5),"6,390.",4.4 out of 5 stars,"4,120 ratings",In stock
Rockstar Games PS5 Grand Theft Auto V,"1,960.",4.5 out of 5 stars,909 ratings,In stock
"GSH Video Game Box G5 WiFi 4K HD Super Console X 20+ Emulator 5600+ Games Retro TV Box Video Game Player for CPS, GB, GBA, GBC, MD, SFC, FC, N64, PS1, PSP and Atari Wireless Gamepad Controller","5,889.",3.9 out of 5 stars,325 ratings,In stock
"Geekria Console Skin Cover for Playstation PS5, Protective Cover for PS5 Console Digital Edition, Game Discs Pockets, Waterproof Dustproof Shell Cover for PS 5 Accessories (Grey)","2,520.",3.6 out of 5 stars,5 ratings,Not Available
"Me2u Ps-4 Dual Shock 4 Wireless Slim Controller | Wireless ps-4 Remote Controller for Playstation 4 Pro | Android | ps-4 FAT | Android, IOS Controller","1,295.",5.0 out of 5 stars,1 rating,In stock
"EvoFox Elite Play Wireless Controller for PS4, iPad & iPhones | Bluetooth 5 | Dual Vibration | 6 Axis Gyro Sensor | 10 Hours of Game Play | Touch Panel | Built in Speaker | 3.5 mm Headset Port (Blue)","2,349.",3.9 out of 5 stars,822 ratings,In stock
"The UberAtlas Dual Game Controller & Headphone Stand Wall Mount Holder for Xbox ONE, Series X, PS5, PS4, PS3, Switch, STEELSERIES Gamepad & More, Stay Organized No Screws, by Brainwavz","1,299.",4.4 out of 5 stars,"2,195 ratings",In stock
